time_step,ess,entropy,weight_variance,max_weight
0,999.999695,1.000000,0.000000,0.001000
1,618.506958,0.949558,0.000001,0.002712
2,999.999695,1.000000,0.000000,0.001000
3,691.317688,0.963970,0.000000,0.002452
4,527.800598,0.935027,0.000001,0.003786
5,999.999695,1.000000,0.000000,0.001000
6,628.622070,0.953474,0.000001,0.002904
7,529.691345,0.934614,0.000001,0.003657
8,999.999695,1.000000,0.000000,0.001000
9,622.605286,0.953611,0.000001,0.003054
10,555.884888,0.940493,0.000001,0.003547
11,999.999695,1.000000,0.000000,0.001000
12,681.922607,0.963247,0.000000,0.002608
13,583.793274,0.945796,0.000001,0.003206
14,542.198853,0.936045,0.000001,0.003547
15,999.999695,1.000000,0.000000,0.001000
16,683.765503,0.963711,0.000000,0.002592
17,607.573364,0.950300,0.000001,0.003141
18,999.999695,1.000000,0.000000,0.001000
19,566.281311,0.942709,0.000001,0.003321
20,503.072021,0.928629,0.000001,0.003964
21,999.999695,1.000000,0.000000,0.001000
22,616.894348,0.953198,0.000001,0.003106
23,647.054382,0.957477,0.000001,0.002722
24,548.678406,0.938579,0.000001,0.003653
25,551.214966,0.939367,0.000001,0.003508
26,999.999695,1.000000,0.000000,0.001000
27,620.175598,0.954935,0.000001,0.003361
28,999.999695,1.000000,0.000000,0.001000
29,711.466980,0.967006,0.000000,0.002392
30,626.833862,0.953183,0.000001,0.002923
31,601.751221,0.948550,0.000001,0.003097
32,999.999695,1.000000,0.000000,0.001000
33,623.850403,0.953796,0.000001,0.003067
34,596.952942,0.948867,0.000001,0.003260
35,540.634888,0.936552,0.000001,0.003563
36,506.344421,0.929869,0.000001,0.004068
37,999.999695,1.000000,0.000000,0.001000
38,609.680298,0.951658,0.000001,0.002986
39,626.233398,0.953958,0.000001,0.002899
40,588.489319,0.947272,0.000001,0.003152
41,999.999695,1.000000,0.000000,0.001000
42,645.789673,0.957208,0.000001,0.002812
43,605.864685,0.950009,0.000001,0.003009
44,517.954468,0.930944,0.000001,0.003616
45,999.999695,1.000000,0.000000,0.001000
46,594.978271,0.947411,0.000001,0.002972
47,518.931885,0.931985,0.000001,0.003688
48,999.999695,1.000000,0.000000,0.001000
49,542.170471,0.939780,0.000001,0.003904
50,608.926208,0.950152,0.000001,0.003017
51,552.864685,0.939823,0.000001,0.003648
52,999.999695,1.000000,0.000000,0.001000
53,572.072205,0.944852,0.000001,0.003411
54,529.309082,0.935144,0.000001,0.003887
55,540.664368,0.935488,0.000001,0.003628
56,999.999695,1.000000,0.000000,0.001000
57,648.651062,0.957927,0.000001,0.002895
58,613.895325,0.951691,0.000001,0.003056
59,548.573364,0.939144,0.000001,0.003573
60,999.999695,1.000000,0.000000,0.001000
61,530.070984,0.938193,0.000001,0.003964
62,565.668518,0.942442,0.000001,0.003514
63,999.999695,1.000000,0.000000,0.001000
64,586.605347,0.948588,0.000001,0.003430
65,537.544189,0.937710,0.000001,0.003659
66,524.789062,0.933665,0.000001,0.003649
67,999.999695,1.000000,0.000000,0.001000
68,543.595520,0.941669,0.000001,0.003838
69,610.441406,0.951122,0.000001,0.003081
70,536.440063,0.937091,0.000001,0.003574
71,527.582825,0.935588,0.000001,0.003835
72,999.999695,1.000000,0.000000,0.001000
73,596.948120,0.949514,0.000001,0.003174
74,532.043823,0.935305,0.000001,0.003468
75,999.999695,1.000000,0.000000,0.001000
76,546.121033,0.939900,0.000001,0.003965
77,541.420044,0.936792,0.000001,0.003575
78,559.896057,0.941568,0.000001,0.003376
79,521.304260,0.932359,0.000001,0.003683
80,999.999695,1.000000,0.000000,0.001000
81,693.699890,0.964127,0.000000,0.002501
82,655.314209,0.957730,0.000001,0.002632
83,581.912476,0.944529,0.000001,0.003197
84,503.612244,0.928348,0.000001,0.003818
85,509.396545,0.928863,0.000001,0.003705
86,999.999695,1.000000,0.000000,0.001000
87,707.526306,0.966984,0.000000,0.002468
88,569.908386,0.944092,0.000001,0.003446
89,597.096008,0.947439,0.000001,0.003137
90,999.999695,1.000000,0.000000,0.001000
91,580.405212,0.944301,0.000001,0.003210
92,999.999695,1.000000,0.000000,0.001000
93,615.555115,0.953456,0.000001,0.003264
94,999.999695,1.000000,0.000000,0.001000
95,757.233093,0.973664,0.000000,0.002131
96,631.277283,0.953889,0.000001,0.002857
97,624.929688,0.952747,0.000001,0.002933
98,550.263000,0.937562,0.000001,0.003341
99,530.964783,0.932768,0.000001,0.003350
100,999.999695,1.000000,0.000000,0.001000
101,626.331360,0.952722,0.000001,0.002785
102,648.509338,0.956764,0.000001,0.002653
103,509.469360,0.928155,0.000001,0.003587
104,999.999695,1.000000,0.000000,0.001000
105,732.465210,0.969726,0.000000,0.002248
106,583.326233,0.945872,0.000001,0.003235
107,615.491577,0.950961,0.000001,0.002941
108,565.027222,0.938726,0.000001,0.003042
109,533.580200,0.932169,0.000001,0.003347
110,999.999695,1.000000,0.000000,0.001000
111,612.756653,0.950459,0.000001,0.003025
112,647.463745,0.956308,0.000001,0.002740
113,553.563538,0.937148,0.000001,0.003158
114,546.862366,0.935936,0.000001,0.003298
115,999.999695,1.000000,0.000000,0.001000
116,720.104492,0.967999,0.000000,0.002261
117,658.354797,0.957551,0.000001,0.002552
118,999.999695,1.000000,0.000000,0.001000
119,759.495850,0.973762,0.000000,0.002106
120,668.071350,0.959346,0.000000,0.002612
121,610.116821,0.949227,0.000001,0.002790
122,589.515381,0.945195,0.000001,0.003058
123,531.853271,0.933165,0.000001,0.003448
124,999.999695,1.000000,0.000000,0.001000
125,692.985474,0.964472,0.000000,0.002440
126,584.843994,0.944989,0.000001,0.003108
127,589.905457,0.945250,0.000001,0.002945
128,999.999695,1.000000,0.000000,0.001000
129,727.758972,0.969171,0.000000,0.002255
130,619.787598,0.950608,0.000001,0.002768
131,605.904053,0.947716,0.000001,0.002891
132,568.413513,0.940501,0.000001,0.003230
133,519.559204,0.929407,0.000001,0.003376
134,999.999695,1.000000,0.000000,0.001000
135,611.993225,0.950038,0.000001,0.002918
136,631.490906,0.954319,0.000001,0.002887
137,614.032898,0.950040,0.000001,0.002874
138,536.828552,0.934969,0.000001,0.003535
139,521.777344,0.930174,0.000001,0.003551
140,999.999695,1.000000,0.000000,0.001000
141,660.693542,0.958871,0.000001,0.002595
142,648.801880,0.956069,0.000001,0.002618
143,523.949097,0.931003,0.000001,0.003463
144,999.999695,1.000000,0.000000,0.001000
145,709.720581,0.965665,0.000000,0.002265
146,639.328003,0.954940,0.000001,0.002640
147,999.999695,1.000000,0.000000,0.001000
148,730.441589,0.969181,0.000000,0.002164
149,529.537964,0.934552,0.000001,0.003780
