rank,alpha,beta,kappa,pos_rmse,pos_final_error,heading_rmse,heading_final_error
1,1.000000,1.5,-1,1.571686,1.978895,0.341188,0.425602
2,1.000000,2.0,-1,1.573172,1.954877,0.341936,0.422318
3,1.000000,1.0,-1,1.576092,2.005206,0.334015,0.429373
4,1.000000,1.5,1,1.633141,1.820733,0.372624,0.401844
5,0.500000,1.5,0,1.702707,2.149008,0.332872,0.452837
6,0.500000,2.0,0,1.707939,2.135823,0.333665,0.450661
7,0.500000,1.0,-1,1.819159,2.353207,0.344554,0.479645
8,0.500000,1.5,-1,1.819239,2.328572,0.344992,0.476019
9,0.500000,2.0,-1,1.821351,2.307400,0.345500,0.472919
10,0.005000,1.5,-1,1.822109,2.221007,0.377500,0.486992
